id;start_date;end_date;language
1;2019-11-29T00:43:22;2019-11-28T19:32:55;ENGLISH
2;2019-11-28T05:15:16;2019-11-28T12:51:54;SPANISH
3;2019-11-28T10:23:31;2019-11-28T03:08:53;ENGLISH
4;2019-11-28T03:14:41;2019-11-28T06:35:15;FRENCH
5;2019-11-28T14:48:43;2019-11-28T06:20:29;SPANISH
6;2019-11-28T02:44:30;2019-11-28T10:10:28;ENGLISH
7;2019-11-29T01:22:21;2019-11-29T00:52:29;ENGLISH
8;2019-11-29T00:06:05;2019-11-28T10:04:22;SPANISH
9;2019-11-29T01:15:05;2019-11-28T17:38:06;ENGLISH
10;2019-11-28T10:42:56;2019-11-28T03:19:50;ENGLISH
